Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
PE 32:0,PE,S1A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,13540,704,1
PE 32:0,PE,S2A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,15873,941,1
PE 32:0,PE,S3A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,16004,840,1
PE 32:0,PE,S4A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,21718,980,1
PE 32:0,PE,S5A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,18040,824,1
PE 32:0,PE,S6A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,20555,1143,1
PE 32:0,PE,S7A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,19578,931,1
PE 32:0,PE,S8A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,22969,810,1
PE 32:0,PE,S9A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,25406,1085,1
PE 32:0,PE,S10A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,26887,813,1
PE 32:0,PE,S11A,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,38785,1436,1
PE 32:0,PE,S1B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,25639,935,1
PE 32:0,PE,S2B,692.5,1,551.5,1,Ion [551.500549/551.500549],3.99,14862,842,1
PE 32:0,PE,S3B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,15274,706,1
PE 32:0,PE,S4B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,11281,746,1
PE 32:0,PE,S5B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,15713,908,1
PE 32:0,PE,S6B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,13261,643,1
PE 32:0,PE,S7B,692.5,1,551.5,1,Ion [551.500549/551.500549],4,16947,802,1
PE 32:0,PE,S8B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,24734,662,1
PE 32:0,PE,S9B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,32983,827,1
PE 32:0,PE,S10B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,22646,966,1
PE 32:0,PE,S11B,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,20656,877,1
PE 32:0,PE,S1C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,14708,840,1
PE 32:0,PE,S2C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,17053,824,1
PE 32:0,PE,S3C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,12702,718,1
PE 32:0,PE,S4C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,16282,846,1
PE 32:0,PE,S5C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,9460,918,1
PE 32:0,PE,S6C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,15623,812,1
PE 32:0,PE,S7C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,12730,907,1
PE 32:0,PE,S8C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,15403,953,1
PE 32:0,PE,S9C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,16621,726,1
PE 32:0,PE,S10C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.03,16456,895,1
PE 32:0,PE,S11C,692.5,1,551.5,1,Ion [551.500549/551.500549],4.03,25000,975,1
PE 32:0,PE,S1D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,8064,772,1
PE 32:0,PE,S2D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,10538,662,1
PE 32:0,PE,S3D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,22046,1242,1
PE 32:0,PE,S4D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,15093,956,1
PE 32:0,PE,S5D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,14742,939,1
PE 32:0,PE,S6D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,14740,754,1
PE 32:0,PE,S7D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,24697,871,1
PE 32:0,PE,S8D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,7399,808,1
PE 32:0,PE,S9D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,9501,658,1
PE 32:0,PE,S10D,692.5,1,551.5,1,Ion [551.500549/551.500549],4,12555,1095,1
PE 32:0,PE,S11D,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,14109,773,1
PE 32:0,PE,Blank_1,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,1,476,1
PE 32:0,PE,Blank_2,692.5,1,551.5,1,Ion [551.500549/551.500549],4.14,2,515,1
PE 32:0,PE,TQC_1,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,16412,1185,1
PE 32:0,PE,TQC_2,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,14236,642,1
PE 32:0,PE,TQC_3,692.5,1,551.5,1,Ion [551.500549/551.500549],3.99,15305,665,1
PE 32:0,PE,TQC_4,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,16218,690,1
PE 32:0,PE,TQC_5,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,16464,773,1
PE 32:0,PE,TQC_6,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,13521,723,1
PE 32:0,PE,TQC_7,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,13576,551,1
PE 32:0,PE,TQC_8,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,14299,664,1
