Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
18:1-d9 SM,SM,S1A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.41,1576503,15882,1
18:1-d9 SM,SM,S2A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.4,1614932,26790,1
18:1-d9 SM,SM,S3A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.37,1668273,14135,1
18:1-d9 SM,SM,S4A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.38,1595368,13358,1
18:1-d9 SM,SM,S5A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.41,1417341,24602,1
18:1-d9 SM,SM,S6A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.38,1468428,32424,1
18:1-d9 SM,SM,S7A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.37,1516574,14185,1
18:1-d9 SM,SM,S8A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.4,1639654,15441,1
18:1-d9 SM,SM,S9A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.39,1458066,22874,1
18:1-d9 SM,SM,S10A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.38,1488208,32383,1
18:1-d9 SM,SM,S11A,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.35,1393032,16264,1
18:1-d9 SM,SM,S1B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.41,1494640,28367,1
18:1-d9 SM,SM,S2B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.38,1541608,15078,1
18:1-d9 SM,SM,S3B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.37,1913452,17706,1
18:1-d9 SM,SM,S4B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.38,1763051,33944,1
18:1-d9 SM,SM,S5B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.4,1641758,30938,1
18:1-d9 SM,SM,S6B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.37,1783209,32033,1
18:1-d9 SM,SM,S7B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.36,1743400,30218,1
18:1-d9 SM,SM,S8B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.4,1624645,32074,1
18:1-d9 SM,SM,S9B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.36,1661860,15979,1
18:1-d9 SM,SM,S10B,738.64674,1,184.1,1,Ion [184.100549/184.100549],5.39,1628807,19972,1
