Sample,group,Diet,Vehicle
S1A,NormalDiet_water,Normal,water
S2A,NormalDiet_water,Normal,water
S3A,NormalDiet_water,Normal,water
S4A,NormalDiet_water,Normal,water
S5A,NormalDiet_water,Normal,water
S6A,NormalDiet_water,Normal,water
S7A,NormalDiet_water,Normal,water
S8A,NormalDiet_water,Normal,water
S9A,NormalDiet_water,Normal,water
S10A,NormalDiet_water,Normal,water
S11A,NormalDiet_water,Normal,water
S1B,NormalDiet_DCA,Normal,DCA
S2B,NormalDiet_DCA,Normal,DCA
S3B,NormalDiet_DCA,Normal,DCA
S4B,NormalDiet_DCA,Normal,DCA
S5B,NormalDiet_DCA,Normal,DCA
S6B,NormalDiet_DCA,Normal,DCA
S7B,NormalDiet_DCA,Normal,DCA
S8B,NormalDiet_DCA,Normal,DCA
S9B,NormalDiet_DCA,Normal,DCA
S10B,NormalDiet_DCA,Normal,DCA
S11B,NormalDiet_DCA,Normal,DCA
S1C,HighFat_water,HighFat,water
S2C,HighFat_water,HighFat,water
S3C,HighFat_water,HighFat,water
S4C,HighFat_water,HighFat,water
S5C,HighFat_water,HighFat,water
S6C,HighFat_water,HighFat,water
S7C,HighFat_water,HighFat,water
S8C,HighFat_water,HighFat,water
S9C,HighFat_water,HighFat,water
S10C,HighFat_water,HighFat,water
S11C,HighFat_water,HighFat,water
S1D,HighFat_DCA,HighFat,DCA
S2D,HighFat_DCA,HighFat,DCA
S3D,HighFat_DCA,HighFat,DCA
S4D,HighFat_DCA,HighFat,DCA
S5D,HighFat_DCA,HighFat,DCA
S6D,HighFat_DCA,HighFat,DCA
S7D,HighFat_DCA,HighFat,DCA
S8D,HighFat_DCA,HighFat,DCA
S9D,HighFat_DCA,HighFat,DCA
S10D,HighFat_DCA,HighFat,DCA
S11D,HighFat_DCA,HighFat,DCA
Blank_1,blank,blank,blank
Blank_2,blank,blank,blank
TQC_1,QC,QC,QC
TQC_2,QC,QC,QC
TQC_3,QC,QC,QC
TQC_4,QC,QC,QC
TQC_5,QC,QC,QC
TQC_6,QC,QC,QC
TQC_7,QC,QC,QC
TQC_8,QC,QC,QC
TQC_9,QC,QC,QC
TQC_10,QC,QC,QC
TQC_11,QC,QC,QC
TQC_12,QC,QC,QC
